Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4,X-Printer 5,Y-Printer 5
280364.598874,76.5463430924,283.117748789,448.276898851,135.498841428,22.5095833807,672.415045921,219.726928162,643.105470239,703.306172113,73.1207586377
229267.900447,51.7734999366,260.658979357,169.893731602,206.097342144,675.567041612,182.607942713,392.762032643,607.865083994,242.961032931,868.389059087
257744.94031,9.30214717057,499.978361434,519.067773123,161.84587076,596.991538909,194.806820743,606.834310932,219.196196753,472.224338666,745.700136838
257502.696356,612.795222396,200.892797131,714.382879159,307.041275703,728.782710146,326.32276446,590.560583616,626.692530946,36.2156991819,878.771502061
214957.734827,137.204595838,140.671427412,521.551256462,180.143760218,284.73837626,629.943874586,544.95113282,461.98059062,733.944523022,318.323919802
269652.500701,219.988065562,31.8767137392,220.241016346,439.28607694,550.658947857,350.873073063,578.952570896,421.472953446,690.025569347,466.496016798
247760.008995,446.714444812,118.34142199,207.664671283,473.408544657,205.228247307,603.859278716,405.354915738,506.225565712,290.498795048,629.072037585
238196.370829,229.918009394,256.71592077,298.496093915,227.304439195,454.492568211,122.709883194,83.2724061524,691.209297557,766.052046134,468.787282482
244110.422629,151.480719933,244.686833337,38.9532216038,387.947467761,258.616351941,372.197632023,562.205627036,253.895122548,232.392465711,968.984301294
207591.448512,39.0387461544,588.573267194,678.904399109,195.358030036,573.316853141,453.691129243,301.064368494,791.51960676,114.954079351,872.572507655
302492.079295,266.016198669,138.598629625,250.253358466,261.185488966,229.498763494,725.046863014,323.083486122,943.909922202,383.115469793,991.587628481
253046.320002,278.528156295,423.387705048,758.617850323,45.7178719107,723.762673258,388.326838546,650.490099115,713.830857091,543.622774599,1004.5711704
436396.077868,209.678329796,939.716032292,760.255034904,706.990988745,627.430961139,852.557733102,570.639041331,972.199065101,691.506655432,896.152606097
190467.491806,302.232444817,186.593519412,218.554831521,590.500583933,719.596306853,204.631765127,128.005839485,913.014018902,733.871255753,578.735468135
240292.371308,224.08062032,192.577842564,270.498218004,379.155413687,240.531355694,510.122229809,354.248911802,672.330032258,767.546793613,373.094336861
